Gene,Description,padj_maSigPro,clusters_maSigPro,Fold_change_h_vs_c,padj_h_vs_c,Fold_change_p_vs_c,padj_p_vs_c,Fold_change_a_vs_c,padj_a_vs_c,Fold_change_r_vs_c,padj_r_vs_c,Fold_change_a_vs_r,padj_a_vs_r,Fold_change_h_vs_a,padj_h_vs_a
TCAL_00657,"Similar to Pde4d cAMP-specific 3',5'-cyclic phosphodiesterase 4D (Mus musculus)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.919843008,0.070296573,NA,NA
TCAL_00667,Similar to shark Tyrosine-protein kinase shark (Drosophila melanogaster),2.61E-07,2,NA,NA,0.417413545,0.054319377,0.557307039,0.001191293,NA,NA,-0.530605795,0.003110089,NA,NA
TCAL_00673,Similar to set5 SET domain-containing protein 5 (Schizosaccharomyces pombe (strain 972 / ATCC 24843)),7.96E-05,8,NA,NA,-0.397748825,0.035936087,-0.434369695,0.009843411,-0.377398315,0.037323654,NA,NA,NA,NA
TCAL_00678,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.97335312,0.037711225,NA,NA
TCAL_00688,Similar to tbc1d7 TBC1 domain family member 7 (Danio rerio),0.00040674,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00691,"Similar to Pik3cb Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform (Mus musculus)",0.000769869,1,NA,NA,NA,NA,NA,NA,0.418650082,0.006833264,NA,NA,NA,NA
TCAL_00706,Similar to GLIS3 Zinc finger protein GLIS3 (Homo sapiens),NA,NA,NA,NA,-0.302974139,0.086476254,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00716,Similar to Plxdc1 Plexin domain-containing protein 1 (Mus musculus),NA,NA,NA,NA,NA,NA,-0.381865114,0.031895727,NA,NA,0.367814144,0.055923878,NA,NA
TCAL_00722,Similar to PGM1 Phosphoglucomutase-1 (Bos taurus),NA,NA,NA,NA,NA,NA,0.347487575,0.099963947,NA,NA,NA,NA,NA,NA
TCAL_00727,Similar to emc6 ER membrane protein complex subunit 6 (Xenopus laevis),NA,NA,NA,NA,NA,NA,-0.207098893,0.094113952,NA,NA,NA,NA,NA,NA
TCAL_00735,Similar to ZK550.6 Probable phytanoyl-CoA dioxygenase (Caenorhabditis elegans),2.50E-18,2,NA,NA,0.299569857,4.52E-05,0.403814627,6.96E-10,NA,NA,-0.354727554,1.36E-07,-0.222726184,0.021484463
TCAL_00758,Similar to MFGE8 Lactadherin (Homo sapiens),NA,NA,NA,NA,NA,NA,0.41051985,0.069842522,NA,NA,NA,NA,NA,NA
TCAL_00763,"Similar to slc52a3a Solute carrier family 52, riboflavin transporter, member 3-A (Danio rerio)",NA,NA,NA,NA,NA,NA,NA,NA,0.324503364,0.074599798,0.34876593,0.054857945,NA,NA
TCAL_00766,Similar to Slc22a1 Solute carrier family 22 member 1 (Rattus norvegicus),1.23E-34,7,0.597972784,5.35E-07,0.872428429,1.08E-16,0.809224565,1.58E-14,1.105281302,1.10E-27,0.296056736,0.037472005,NA,NA
TCAL_00767,Similar to oct-1 Organic cation transporter 1 (Caenorhabditis elegans),2.50E-07,8,-0.396024357,0.08258265,-0.535623509,0.001185879,-0.487811276,0.003123272,-0.708315617,1.12E-06,NA,NA,NA,NA
TCAL_00771,"Similar to Pde11 Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11 (Drosophila melanogaster)",0.003602404,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00777,Similar to KCNJ12 ATP-sensitive inward rectifier potassium channel 12 (Homo sapiens),0.000153014,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00796,Similar to ogfod2 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 2 (Danio rerio),1.51E-12,3,NA,NA,0.593872097,6.20E-05,0.701228413,2.49E-07,NA,NA,-0.426901456,0.008353834,NA,NA
TCAL_00797,sarcospan isoform X1,1.19E-07,8,NA,NA,NA,NA,NA,NA,-0.528522202,0.004291277,-0.47057679,0.021690184,NA,NA
TCAL_00799,Similar to Blm Bloom syndrome protein homolog (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,0.358018806,0.058654108,NA,NA,NA,NA
TCAL_00817,Similar to ZNF782 Zinc finger protein 782 (Homo sapiens),5.64E-07,2,NA,NA,NA,NA,0.499163727,0.01184522,NA,NA,-0.623262684,0.000889496,-0.5381326,0.028062654
TCAL_00821,Similar to COG5 Conserved oligomeric Golgi complex subunit 5 (Homo sapiens),0.000572821,2,NA,NA,0.248196264,0.018268766,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00827,Similar to Cdk5rap2 CDK5 regulatory subunit-associated protein 2 (Mus musculus),5.47E-06,2,NA,NA,0.264290892,0.076771304,0.378286534,0.000953579,NA,NA,-0.308427553,0.017512018,-0.303397548,0.067610946
TCAL_00828,Similar to Venom dipeptidyl peptidase 4 (Apis mellifera),2.20E-05,8,NA,NA,NA,NA,-0.243426385,0.035383204,-0.29394056,0.005645163,NA,NA,NA,NA
TCAL_00832,Similar to MBLAC2 Metallo-beta-lactamase domain-containing protein 2 (Bos taurus),NA,NA,NA,NA,NA,NA,0.587639878,0.087058972,NA,NA,NA,NA,NA,NA
TCAL_00843,Similar to Rdh13 Retinol dehydrogenase 13 (Mus musculus),0.000404016,2,NA,NA,NA,NA,0.320817422,0.018874036,NA,NA,NA,NA,NA,NA
TCAL_00854,Similar to CTSZ Cathepsin Z (Homo sapiens),NA,NA,NA,NA,NA,NA,NA,NA,-0.239301137,0.055771074,-0.278381399,0.019108942,NA,NA
TCAL_00874,Protein of unknown function,NA,NA,NA,NA,NA,NA,-0.266090023,0.07977802,NA,NA,NA,NA,NA,NA
TCAL_00896,Protein of unknown function,3.73E-13,3,0.476512299,0.000105785,0.547126555,1.04E-06,0.747056883,3.06E-13,0.394326147,0.00114794,-0.352730737,0.006555622,NA,NA
TCAL_00897,Similar to isoc2 Isochorismatase domain-containing protein 2 (Xenopus laevis),0.000260932,2,0.441198928,0.086963251,NA,NA,0.525203824,0.004860655,NA,NA,-0.406445883,0.065933266,NA,NA
TCAL_00899,Protein of unknown function,1.52E-07,8,-0.449166062,0.066205075,-0.594319061,0.00108373,-0.480227832,0.01184522,-0.76149289,2.40E-06,NA,NA,NA,NA
TCAL_00909,Protein of unknown function,1.48E-36,4,-1.63482248,1.05E-13,-2.058829859,1.18E-20,-1.595767279,1.58E-14,-0.477596747,0.087447254,1.118170533,1.31E-06,NA,NA
TCAL_00914,Similar to PIGN GPI ethanolamine phosphate transferase 1 (Homo sapiens),0.000592774,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_00918,Similar to Atp7a Copper-transporting ATPase 1 (Mus musculus),NA,NA,NA,NA,NA,NA,0.288516132,0.066038385,NA,NA,NA,NA,NA,NA
TCAL_00940,delta-sarcoglycan-like,NA,NA,NA,NA,NA,NA,-0.935629497,0.003253682,NA,NA,NA,NA,NA,NA
TCAL_00956,Similar to CCND3 G1/S-specific cyclin-D3 (Bos taurus),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.022840989,0.078408295,NA,NA
TCAL_00957,"Similar to msta Protein msta, isoform A (Drosophila melanogaster)",0.000365603,3,0.585651886,0.012099177,0.452034676,0.073285526,0.683265442,0.000283118,0.579558249,0.003937936,NA,NA,NA,NA
TCAL_00968,Similar to Alad Delta-aminolevulinic acid dehydratase (Mus musculus),3.00E-05,4,NA,NA,NA,NA,NA,NA,0.188834787,0.090926821,0.225838001,0.030261564,NA,NA
TCAL_00970,Similar to Pax6 Paired box protein Pax-6 (Rattus norvegicus),0.000861796,1,NA,NA,NA,NA,NA,NA,NA,NA,0.569080651,0.007973073,NA,NA
TCAL_00975,Similar to CG7766 Probable phosphorylase b kinase regulatory subunit alpha (Drosophila melanogaster),5.98E-07,3,NA,NA,0.193773397,0.038789134,0.187864324,0.031556349,0.192653509,0.02700408,NA,NA,NA,NA
TCAL_01014,Similar to ESRRG Estrogen-related receptor gamma (Pongo abelii),4.93E-10,3,NA,NA,0.302597313,0.090318175,0.561079921,5.65E-06,0.576745403,2.27E-06,NA,NA,-0.347981476,0.075240959
TCAL_01016,Similar to Agrn Agrin (Rattus norvegicus),4.07E-05,4,NA,NA,NA,NA,NA,NA,NA,NA,0.665823885,0.004231341,NA,NA
TCAL_01020,thyroglobulin-like isoform X2,NA,NA,NA,NA,NA,NA,-0.249928614,0.090410593,NA,NA,NA,NA,NA,NA
TCAL_01040,Similar to ABCG1 ATP-binding cassette sub-family G member 1 (Homo sapiens),0.00511199,5,NA,NA,NA,NA,NA,NA,NA,NA,-0.483669757,0.099028412,NA,NA
TCAL_01041,Similar to SULT1B1 Sulfotransferase family cytosolic 1B member 1 (Gallus gallus),1.03E-09,1,NA,NA,NA,NA,NA,NA,1.076122388,0.01432473,1.859071653,5.24E-07,NA,NA
TCAL_01046,"Similar to Gpdh Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic (Drosophila americana)",1.60E-09,8,NA,NA,-0.313793174,0.010991884,-0.270228985,0.02850114,-0.378787371,0.000462191,NA,NA,NA,NA
TCAL_01059,Similar to acsbg2 Long-chain-fatty-acid--CoA ligase ACSBG2 (Xenopus laevis),1.32E-07,6,-0.37913462,0.00352726,-0.317756506,0.015154567,-0.252030042,0.066727485,-0.41189161,0.000206498,NA,NA,NA,NA
TCAL_01067,Protein of unknown function,NA,NA,NA,NA,NA,NA,0.511639737,0.080798687,NA,NA,NA,NA,NA,NA
TCAL_01071,Similar to HMCN1 Hemicentin-1 (Homo sapiens),4.87E-09,5,NA,NA,NA,NA,0.450711911,0.031400443,NA,NA,-0.708894228,9.30E-05,-0.735051283,0.00036238
TCAL_01087,Similar to PDIA3 Protein disulfide-isomerase A3 (Gallus gallus),NA,NA,NA,NA,NA,NA,-0.437673446,0.077977882,NA,NA,NA,NA,NA,NA
TCAL_01099,Similar to bowl Protein bowel (Drosophila melanogaster),0.001300018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01108,Similar to CG12034 Putative neutral sphingomyelinase (Drosophila melanogaster),NA,NA,NA,NA,NA,NA,NA,NA,0.253531977,0.090765607,NA,NA,NA,NA
TCAL_01109,Protein of unknown function,NA,NA,NA,NA,NA,NA,NA,NA,0.622617282,0.097516581,NA,NA,NA,NA
TCAL_01110,Similar to NCAM2 Neural cell adhesion molecule 2 (Homo sapiens),NA,NA,NA,NA,NA,NA,0.641368408,0.08943647,NA,NA,NA,NA,NA,NA
TCAL_01135,Similar to Orct Organic cation transporter protein (Drosophila melanogaster),0.000105855,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01137,Similar to PIP5K5 Phosphatidylinositol 4-phosphate 5-kinase 5 (Arabidopsis thaliana),0.00039907,8,NA,NA,-0.917663904,0.038789134,-1.023356106,0.009078381,-0.975708154,0.01449518,NA,NA,NA,NA
TCAL_01139,Similar to Klf11 Krueppel-like factor 11 (Mus musculus),0.000242461,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01150,Similar to bwa Alkaline ceramidase (Drosophila melanogaster),7.09E-05,6,NA,NA,NA,NA,-0.270625108,0.02024882,-0.254633135,0.036799094,NA,NA,NA,NA
TCAL_01160,Similar to CEP104 Centrosomal protein of 104 kDa (Homo sapiens),0.001841333,8,-0.511477662,0.046368601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01161,Similar to mmlH Probable 4-methylmuconolactone transporter (Cupriavidus necator (strain JMP 134 / LMG 1197)),1.36E-32,8,-0.560324964,1.40E-06,-0.909484652,1.06E-18,-0.873227412,1.33E-17,-0.893511763,3.08E-18,NA,NA,0.312902447,0.099397433
TCAL_01177,Similar to SRSF1 Serine/arginine-rich splicing factor 1 (Gallus gallus),0.002018701,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01178,Similar to spin Protein spinster (Drosophila melanogaster),0.000183052,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01209,Similar to Isy1 Pre-mRNA-splicing factor ISY1 homolog (Mus musculus),NA,NA,NA,NA,NA,NA,0.243541437,0.087103314,NA,NA,NA,NA,NA,NA
TCAL_01218,Similar to Imp4 U3 small nucleolar ribonucleoprotein protein IMP4 (Rattus norvegicus),NA,NA,NA,NA,NA,NA,-0.254163714,0.087421693,NA,NA,NA,NA,NA,NA
TCAL_01220,Similar to YIL108W Putative zinc metalloproteinase YIL108W (Saccharomyces cerevisiae (strain ATCC 204508 / S288c)),6.38E-05,6,NA,NA,NA,NA,NA,NA,-0.550922868,0.037137299,-0.535833393,0.055401462,NA,NA
TCAL_01224,"Similar to FGD4 FYVE, RhoGEF and PH domain-containing protein 4 (Homo sapiens)",0.012061122,9,NA,NA,NA,NA,NA,NA,NA,NA,-0.379962494,0.011212038,NA,NA
TCAL_01237,Protein of unknown function,1.48E-08,1,NA,NA,NA,NA,0.339608371,0.002812971,0.416978804,6.30E-05,NA,NA,NA,NA
TCAL_01264,Similar to TBC1D30 TBC1 domain family member 30 (Homo sapiens),0.001080898,5,NA,NA,NA,NA,NA,NA,-0.431272832,0.028378932,-0.376538572,0.093193398,NA,NA
TCAL_01265,Similar to SLC31A1 High affinity copper uptake protein 1 (Homo sapiens),NA,NA,NA,NA,0.545943864,0.080669081,0.634939987,0.014709564,NA,NA,NA,NA,NA,NA
TCAL_01274,Similar to L-amino-acid oxidase (Siganus canaliculatus),0.000161762,4,NA,NA,-0.66212114,0.099989531,NA,NA,NA,NA,NA,NA,NA,NA
TCAL_01294,"Similar to BCO1 Beta,beta-carotene 15,15'-dioxygenase (Gallus gallus)",0.000402466,8,NA,NA,NA,NA,NA,NA,-0.53796699,0.003366445,-0.41188676,0.064411065,NA,NA
TCAL_01295,Protein of unknown function,8.95E-05,6,-0.367844589,0.071632924,-0.331725115,0.084473241,-0.499463555,0.000549433,-0.341388756,0.049008698,NA,NA,NA,NA
